Data,Hora,Year,Month,Valor,Descrição,,
30/11/22,07:01,2022,Nov,350.00,Transferência_LuchtTransportesLtda,,"350,00"
30/11/22,08:35,2022,Nov,-300.00,Auto Posto Jiris Cu,,"-300,00"
30/11/22,15:19,2022,Nov,1556.80,Transferência entre Contas,,"1556,80"
30/11/22,17:00,2022,Nov,-40.00,Borracharia Cu,,"-40,00"
30/11/22,17:15,2022,Nov,-1300.00,Pix Enviado-Conta Transacional,,"-1300,00"
01/12/22,00:40,2022,Dez,-250.00,Pix Enviado-Conta Transacional,,"-250,00"
02/12/22,13:52,2022,Dez,-11.00,Auto Posto Jiris Cu,,"-11,00"
03/12/22,17:46,2022,Dez,100.00,Transferência_LuchtTransportesLtda,,"100,00"
03/12/22,19:32,2022,Dez,-45.52,Supermercado Poema Cu,,"-45,52"
04/12/22,11:55,2022,Dez,-34.20,Marcosaugusto Cu,,"-34,20"
04/12/22,13:22,2022,Dez,50.00,Transferência_LuchtTransportesLtda,,"50,00"
04/12/22,14:56,2022,Dez,-11.00,Lenite arrowouk Cu,,"-11,00"
04/12/22,15:11,2022,Dez,-36.50,Lenite arrowouk Cu,,"-36,50"
05/12/22,10:49,2022,Dez,-29.00,Hilton Silverio Da Ro Cu,,"-29,00"
05/12/22,11:31,2022,Dez,778.40,Transferência entre Contas,,"778,40"
05/12/22,15:25,2022,Dez,778.40,Transferência entre Contas,,"778,40"
05/12/22,18:36,2022,Dez,1000.00,Transferência_LuchtTransportesLtda,,"1000,00"
05/12/22,18:39,2022,Dez,-906.75,Auto Posto Jiris Cu,,"-906,75"
06/12/22,06:06,2022,Dez,0.03,Remuneração-Cta Pgto,,"0,03"
06/12/22,08:25,2022,Dez,-565.00,Pix Enviado-Conta Transacional,,"-565,00"
06/12/22,09:37,2022,Dez,-31.50,Emporio De Salgados E Mo,,"-31,50"
06/12/22,13:38,2022,Dez,-8.00,Fernando Augusto Ri Ca,,"-8,00"
06/12/22,19:12,2022,Dez,-995.00,Auto Posto Jiris Cu,,"-995,00"
07/12/22,06:06,2022,Dez,-20.00,Nesinda Gomes Dos Sant Pa,,"-20,00"
07/12/22,06:08,2022,Dez,0.01,Remuneração-Cta Pgto,,"0,01"
07/12/22,08:18,2022,Dez,350.00,Transferência_LuchtTransportesLtda,,"350,00"
07/12/22,08:52,2022,Dez,-247.60,Safrao Paranagua Com D Pa,,"-247,60"
07/12/22,11:52,2022,Dez,-130.00,Auto Posto Jiris Cu,,"-130,00"
07/12/22,11:52,2022,Dez,150.00,Transferência_LuchtTransportesLtda,,"150,00"
07/12/22,11:58,2022,Dez,-143.36,Beef & Cia Cu,,"-143,36"
07/12/22,12:56,2022,Dez,778.40,Transferência entre Contas,,"778,40"
07/12/22,13:45,2022,Dez,-12.00,Fernando Augusto Ri Ca,,"-12,00"
07/12/22,16:09,2022,Dez,-4.50,Bebidas E Tabacaria Ca Ca,,"-4,50"
07/12/22,19:52,2022,Dez,-34.99,Carvalhosbebidas Cu,,"-34,99"
07/12/22,20:44,2022,Dez,-22.50,Connecty*Postocruzeiro Cu,,"-22,50"
08/12/22,04:23,2022,Dez,-700.94,Posto Aldo Sao Jose Do Sa,,"-700,94"
08/12/22,06:08,2022,Dez,0.01,Remuneração-Cta Pgto,,"0,01"
08/12/22,08:57,2022,Dez,50.00,Transferência_LuchtTransportesLtda,,"50,00"
08/12/22,12:42,2022,Dez,-49.06,Dona Madallena Restaur Cu,,"-49,06"
08/12/22,23:18,2022,Dez,700.00,Transferência_LuchtTransportesLtda,,"700,00"
09/12/22,03:59,2022,Dez,-690.14,Posto Aldo Sao Jose Do Sa,,"-690,14"
09/12/22,08:39,2022,Dez,1556.80,Transferência entre Contas,,"1556,80"
09/12/22,09:03,2022,Dez,20.00,Transferência_LuchtTransportesLtda,,"20,00"
09/12/22,09:26,2022,Dez,-16.00,Jairodamaia Mo,,"-16,00"
09/12/22,12:02,2022,Dez,-1200.00,Transferência para Lucht Transportes Ltda,,"-1200,00"
09/12/22,13:05,2022,Dez,-100.00,Transferência para Lucht Transportes Ltda,,"-100,00"
09/12/22,13:13,2022,Dez,-8.00,Barcolaco Cu,,"-8,00"
09/12/22,13:13,2022,Dez,-30.00,Auto Posto Jiris Cu,,"-30,00"
09/12/22,13:54,2022,Dez,-47.78,Beef & Cia Cu,,"-47,78"
09/12/22,14:05,2022,Dez,-6.73,Pao Nobre Cu,,"-6,73"
09/12/22,20:45,2022,Dez,-15.00,Aniltondemori Cu,,"-15,00"
09/12/22,21:44,2022,Dez,-19.43,Connecty*Postocruzeiro Cu,,"-19,43"
10/12/22,06:06,2022,Dez,0.01,Remuneração-Cta Pgto,,"0,01"
10/12/22,10:01,2022,Dez,-19.00,Emporio De Salgados E Mo,,"-19,00"
10/12/22,13:20,2022,Dez,-33.00,Fernando Augusto Ri Ca,,"-33,00"
10/12/22,22:01,2022,Dez,-70.00,Cutisque Cu,,"-70,00"
11/12/22,14:13,2022,Dez,200.00,Transferência_LuchtTransportesLtda,,"200,00"
11/12/22,14:40,2022,Dez,-200.00,Mp *Panelamineira Os,,"-200,00"
11/12/22,18:27,2022,Dez,30.00,Transferência_LuchtTransportesLtda,,"30,00"
11/12/22,23:22,2022,Dez,700.00,Transferência_LuchtTransportesLtda,,"700,00"
12/12/22,06:44,2022,Dez,-675.40,Petrotruck Combustivel Cu,,"-675,40"
12/12/22,08:52,2022,Dez,1556.80,Transferência entre Contas,,"1556,80"
12/12/22,09:16,2022,Dez,-5.00,Liliandasilva Pa,,"-5,00"
12/12/22,10:21,2022,Dez,-5.01,Liliandasilva Pa,,"-5,01"
12/12/22,11:52,2022,Dez,-700.00,Transferência para Lucht Transportes Ltda,,"-700,00"
12/12/22,15:33,2022,Dez,-68.00,Antoniodonisetela Cu,,"-68,00"
12/12/22,16:36,2022,Dez,-100.00,Borracharia Cu,,"-100,00"
12/12/22,19:54,2022,Dez,-20.90,Marialuciadacosta Ca,,"-20,90"
13/12/22,04:39,2022,Dez,-14.24,Maru2 Sa,,"-14,24"
13/12/22,06:08,2022,Dez,0.02,Remuneração-Cta Pgto,,"0,02"
13/12/22,06:30,2022,Dez,-18.50,Nesinda Gomes Dos Sant Pa,,"-18,50"
13/12/22,07:55,2022,Dez,-350.00,Pix Enviado-Conta Transacional,,"-350,00"
13/12/22,18:58,2022,Dez,100.00,Transferência_LuchtTransportesLtda,,"100,00"
13/12/22,19:31,2022,Dez,-44.96,Supermercado Jura Cu,,"-44,96"
13/12/22,19:44,2022,Dez,-400.00,Saque Nacional ELO,,"-400,00"
14/12/22,08:43,2022,Dez,778.40,Transferência entre Contas,,"778,40"
14/12/22,09:50,2022,Dez,-310.50,Postodacidade Cu,,"-310,50"
14/12/22,09:55,2022,Dez,-310.50,Postodacidade Cu,,"-310,50"
14/12/22,13:25,2022,Dez,-15.00,Fernando Augusto Ri Ca,,"-15,00"
14/12/22,13:51,2022,Dez,700.00,Transferência_LuchtTransportesLtda,,"700,00"
14/12/22,20:35,2022,Dez,-26.00,Rosilda Dos Santos Hel Pa,,"-26,00"
14/12/22,21:16,2022,Dez,-43.70,Muffato Paranagua 67 Pa,,"-43,70"
14/12/22,21:21,2022,Dez,-10.00,Lucianerodriguesp Pa,,"-10,00"
15/12/22,06:08,2022,Dez,0.01,Remuneração-Cta Pgto,,"0,01"
15/12/22,06:35,2022,Dez,-13.00,Fedatto Restaurante E Ca,,"-13,00"
15/12/22,08:30,2022,Dez,1556.80,Transferência entre Contas,,"1556,80"
15/12/22,13:42,2022,Dez,-33.49,Restaurante Estradeiro Sa,,"-33,49"
15/12/22,22:36,2022,Dez,-50.00,Lucianerodriguesp Pa,,"-50,00"
15/12/22,22:59,2022,Dez,-65.00,Muffato Paranagua 67 Pa,,"-65,00"
15/12/22,23:17,2022,Dez,-15.00,Lucianerodriguesp Pa,,"-15,00"
16/12/22,03:39,2022,Dez,-17.00,Posto Atlantico Paran Al,,"-17,00"
16/12/22,06:06,2022,Dez,0.06,Remuneração-Cta Pgto,,"0,06"
16/12/22,08:42,2022,Dez,-12.00,Mariaaparecida Sa,,"-12,00"
16/12/22,18:48,2022,Dez,-16.00,Fernando Augusto Ri Ca,,"-16,00"
16/12/22,20:56,2022,Dez,-2000.00,Transferência para Lucht Transportes Ltda,,"-2000,00"
16/12/22,21:46,2022,Dez,600.00,Transferência_LuchtTransportesLtda,,"600,00"
16/12/22,22:00,2022,Dez,-124.20,Postodacidade Cu,,"-124,20"
16/12/22,22:41,2022,Dez,300.00,Transferência_LuchtTransportesLtda,,"300,00"
17/12/22,04:25,2022,Dez,-713.00,Pix Enviado-Conta Transacional,,"-713,00"
17/12/22,06:08,2022,Dez,0.01,Remuneração-Cta Pgto,,"0,01"
17/12/22,06:17,2022,Dez,-12.00,Nesindagomes Pa,,"-12,00"
17/12/22,07:30,2022,Dez,-9.00,Liliandasilva Pa,,"-9,00"
17/12/22,12:48,2022,Dez,-24.00,Posto Atlant Paranagua Pa,,"-24,00"
17/12/22,20:24,2022,Dez,-30.00,Cutisque Cu,,"-30,00"
18/12/22,06:05,2022,Dez,0.01,Remuneração-Cta Pgto,,"0,01"
18/12/22,14:04,2022,Dez,400.00,Transferência_LuchtTransportesLtda,,"400,00"
18/12/22,14:44,2022,Dez,300.00,Transferência_LuchtTransportesLtda,,"300,00"
18/12/22,14:45,2022,Dez,-609.79,Supermercados Condor Cu,,"-609,79"
18/12/22,15:04,2022,Dez,-32.00,Marcosaugusto Cu,,"-32,00"
18/12/22,23:06,2022,Dez,-130.00,Transferência para Lucht Transportes Ltda,,"-130,00"
19/12/22,00:15,2022,Dez,-20.00,Ton*Vendedor Sa,,"-20,00"
19/12/22,16:54,2022,Dez,778.40,Transferência entre Contas,,"778,40"
19/12/22,20:49,2022,Dez,-700.00,Transferência para Lucht Transportes Ltda,,"-700,00"
19/12/22,21:34,2022,Dez,-67.50,Rosilda Dos Santos Hel Pa,,"-67,50"
20/12/22,06:08,2022,Dez,0.02,Remuneração-Cta Pgto,,"0,02"
20/12/22,08:50,2022,Dez,-10.00,Nesinda Gomes Dos Sant Pa,,"-10,00"
20/12/22,15:24,2022,Dez,778.40,Transferência entre Contas,,"778,40"
21/12/22,06:06,2022,Dez,0.03,Remuneração-Cta Pgto,,"0,03"
21/12/22,17:49,2022,Dez,-25.50,Bebidas E Tabacaria Ca Ca,,"-25,50"
21/12/22,19:42,2022,Dez,-17.00,Bebidas E Tabacaria Ca Ca,,"-17,00"
22/12/22,03:57,2022,Dez,-700.00,Transferência para Lucht Transportes Ltda,,"-700,00"
22/12/22,05:48,2022,Dez,-26.00,Celestre Borba Evangel Pa,,"-26,00"
22/12/22,05:50,2022,Dez,-10.00,Celestre Borba Evangel Pa,,"-10,00"
22/12/22,06:07,2022,Dez,0.04,Remuneração-Cta Pgto,,"0,04"
22/12/22,06:08,2022,Dez,-10.00,Nesinda Gomes Dos Sant Pa,,"-10,00"
